"FID","TILE","NM_MACRORH","GEOMETRY","ORDEMFINAL"
"146","080097","AMAZÔNICA","POLYGON ((-60.112684 -12.719194, -60.112684 -12.382803, -59.582281 -12.382803, -59.582281 -12.719194, -60.112684 -12.719194))",178
"147","080098","AMAZÔNICA","POLYGON ((-60.13521 -13.697239, -60.13521 -13.36075, -59.602828 -13.36075, -59.602828 -13.697239, -60.13521 -13.697239))",179
"148","080099","AMAZÔNICA","POLYGON ((-60.157901 -14.675647, -60.157901 -14.338962, -59.623527 -14.338962, -59.623527 -14.675647, -60.157901 -14.675647))",180
"149","080100","AMAZÔNICA","POLYGON ((-60.180762 -15.654703, -60.180762 -15.317724, -59.644379 -15.317724, -59.644379 -15.654703, -60.180762 -15.654703))",181
"150","080101","AMAZÔNICA","POLYGON ((-60.203792 -16.6347, -60.203792 -16.297325, -59.665387 -16.297325, -59.665387 -16.6347, -60.203792 -16.6347))",182
"151","081082","AMAZÔNICA","POLYGON ((-58.304734 2.070658, -58.304734 2.414265, -57.803968 2.414265, -57.803968 2.070658, -58.304734 2.070658))",183
"152","081083","AMAZÔNICA","POLYGON ((-58.319769 1.064875, -58.319769 1.407135, -57.81724 1.407135, -57.81724 1.064875, -58.319769 1.064875))",184
"153","081084","AMAZÔNICA","POLYGON ((-58.33491 0.062916, -58.33491 0.403934, -57.830605 0.403934, -57.830605 0.062916, -58.33491 0.062916))",185
"154","081085","AMAZÔNICA","POLYGON ((-58.350157 -0.935517, -58.350157 -0.595641, -57.844063 -0.595641, -57.844063 -0.935517, -58.350157 -0.935517))",186
"155","081086","AMAZÔNICA","POLYGON ((-58.365512 -1.930719, -58.365512 -1.591886, -57.857617 -1.591886, -57.857617 -1.930719, -58.365512 -1.930719))",187
"156","081087","AMAZÔNICA","POLYGON ((-58.380975 -2.92298, -58.380975 -2.58509, -57.871266 -2.58509, -57.871266 -2.92298, -58.380975 -2.92298))",188
"157","081088","AMAZÔNICA","POLYGON ((-58.396549 -3.912581, -58.396549 -3.57554, -57.885012 -3.57554, -57.885012 -3.912581, -58.396549 -3.912581))",189
"158","081089","AMAZÔNICA","POLYGON ((-58.412233 -4.899804, -58.412233 -4.563516, -57.898856 -4.563516, -57.898856 -4.899804, -58.412233 -4.899804))",190
"159","081090","AMAZÔNICA","POLYGON ((-58.42803 -5.884925, -58.42803 -5.549296, -57.9128 -5.549296, -57.9128 -5.884925, -58.42803 -5.884925))",191
"160","081091","AMAZÔNICA","POLYGON ((-58.44394 -6.86822, -58.44394 -6.533156, -57.926843 -6.533156, -57.926843 -6.86822, -58.44394 -6.86822))",192
